"Category","Energy Cost","Action Point Cost","Damage","Type","Range","MP","Ability Name","Ability Type","Description"
"Shield",1,1,2,"blunt","0–1",7,"Bash","Active","2 blunt at 0–1 range"
"Shield",1,1,2,"sharp","0–1",7,"Rim","Active","2 sharp + Bleed at 0–1 range"
"Shield",0,0,"—","—","—",7,"Advancing Hold","Passive","+2 DR when moving"
"Shield",1,1,"—","—","—",7,"Raise","Reaction","+2 DR when defending against a ranged attack or spell"
"Shield",1,1,"—","—","—",7,"Brace","Reaction","+2 DR when foe moves or charges to attack you"
"Shield",0,0,"—","—","—",7,"Conditioning","Passive","-1 energy cost/round"
"Soft Armor",1,1,"—","—","—",3,"Evade","Reaction","-1 durability damage upon successful feat of agility in an area effect"
"Soft Armor",1,1,"—","—","—",3,"Coverage","Reaction","Reduce bleed by 3"
"Soft Armor",0,0,"—","—","—",3,"Conceal","Passive","+10 to conceal items while wearing"
"Soft Armor",1,1,"—","—","—",3,"Drop","Stationary, Once/Round","Remove armor and drop"
"Soft Armor",1,1,"—","—","—",3,"Field Repair","Stationary, Once/Round","+1 armor durability if damaged"
"Soft Armor",0,0,"—","—","—",3,"Conditioning","Passive","-1 energy cost/round"
"Hard Armor",0,0,"—","—","—",10,"Superior Unarmed","Passive","+2 unarmed blunt damage and +10 Battle when using Strike"
"Hard Armor",0,0,"—","—","—",10,"Conditioning","Passive","-1 energy cost/round"
"Hard Armor",0,0,"—","—","—",10,"Stealth","Passive","No conceal penalty while wearing"
"Hard Armor",0,1,"—","—","—",10,"Armored Charge","Active","+Physical Mod damage when charging and attacking"
"Hard Armor",0,1,"—","—","—",10,"Tank","Reaction","-50% damage from critical hit upon successful Endure, -1 armor durability"
"Hard Armor",0,1,"—","—","—",10,"Coverage","Reaction","Reduce bleed by DR"
