Category,Energy Cost,Action Point Cost,Damage,Type,Range,MP,Two-Handed?,Ability Name,Ability Type,Description
Small Blades,1,1,3,Sharp,0–1,5,No,Slit,Active,1 Bleed at 0 range
Small Blades,1,1,3,Sharp,0–1,5,No,Bypass Armor,Active,Bypass all armor at 0 range
Small Blades,1,1,3,Sharp,0–1,5,No,Thrust,Passive,Move 1 with no AP or energy cost as part of attack
Small Blades,1,1,3,Sharp,0–1,5,No,Parry,Reaction,"+3 to Battle when defending, +6 while dual wielding"
Small Blades,1,1,3,Sharp,0–1,5,No,Drawcut,"Reaction, Once/Round","Enemy moves within range, attack with 50% damage"
Small Blades,1,1,3,Sharp,0–1,5,No,Counter,Reaction,Attack when battle roll is higher while defending
,,,,Sharp,,,,,,
Medium Blades,2,2,7,Sharp,1,8,No,Slash,Active,2 Bleed at 1 range
Medium Blades,2,2,7,Sharp,1,8,No,Pommel,Active,Use blunt damage instead of sharp damage
Medium Blades,2,2,7,Sharp,1,8,No,Thrust,Passive,Move 1 with no AP or energy cost as part of attack
Medium Blades,2,2,7,Sharp,1,8,No,Riposte,Reaction,Automatic hit at 50% damage when defense roll exceeds enemy attack
Medium Blades,2,2,7,Sharp,1,8,No,Drawcut,"Reaction, Once/Round","Enemy moves within range, attack with 50% damage"
Medium Blades,2,2,7,Sharp,1,8,No,Parry,Reaction,+7 to Battle when defending
,,,,Sharp,,,,,,
Large Blades,3,3,12,Sharp,1–2,10,Yes,Ward,"Stationary, Once/Round",All enemies entering range take 50% damage if they fail to beat your defense; does not work at 0–1 range
Large Blades,3,3,12,Sharp,1–2,10,Yes,Devastate,Reaction,Deal 100% more damage on critical hit
Large Blades,3,3,12,Sharp,1–2,10,Yes,Slash,Active,4 Bleed at 1–2 range
Large Blades,3,3,12,Sharp,1–2,10,Yes,Brace,Reaction,+12 defense when enemy moves or charges to attack you
Large Blades,3,3,12,Sharp,1–2,10,Yes,Departing Blow,Reaction,"Attack when enemy moves out of range, 50% damage"
